karai_text,english_text
Kara,Hi
Guye,Run
La,Who
Yasi,Fire
Taimako,Help
Ndire,Dance
Yaru,Stop
Dimita,Wait
Walu,Go on
Usai,Hello
Na nasikau,I see
Na gwadati,I try
Kicebai,Oh no
Shindu,Get up
Walu ance,Go now
Caune azukau,Hug me
Nakalekau azuno,I fell
Namentasi,I know
Nadayusukau,I left
Nayika riwo,I lied
Na wabai,I lost
Na biyatusikau,I paid
Nau 19,I'm 19
Kali,Listen
Ka ndarubai,No way
Jire,Really
Godankau,Thanks
Tedi Tom,Ask Tom
Dagini,Call me
Dagi mune,Call us
Gadeti,Come in
Yeti,Come on
Zisi,Drop it
Maiti Tom,Get Tom
Fati Amala,Get out
Kadaye bicham,Go away
Walu kwaro,Go home
Saikaganni,Goodbye
Yeka cacabai,He is quit
Yeka jojo,He runs
Taimakini,Help me
Taimaki mune,Help us
Cause,Hold it
Cawu,Hold on
Nayardukau,I agree
Nayika zawa,I cried
Na seka wilyo,I smoke
Na gwadatusukau,I tried
Na walano,I'll go
Na nankazu,I'm fat
Na naka zubai,I'm fit
Na gainakau,I'm hit
Na nanka lafiya bai,I'm ill
Zumbulum nau yabtako,I'm sad
Na nanka Cawa,I'm shy
Ayeyi nane,It's me
Daisai,Keep it
Sibono,Kiss me
Nisai,See you
Nanai,Show me
Daise,Skip it
Busku,Take it
Dafno,Tell me
Shindui,Wake up
Usai kawale,Welcome
Yi jojo,You run
Na nanka zubi,Am I fat
Tedisune,Ask them
Dagi Tom,Call Tom
Bagwaigwai,Mad
Buci,Mat
Rayi,Bird
Indi,Bed
Kwaro,House
Mayi Tom,Find Tom
Fadi ayam,Fix this
Usaika wano,Good job
Taimaki Tom,Help Tom
Kara kaletamu,How nice
Na yinasi,I did it
Na ngatanakau,I failed
Na manusukau,I forgot
Na wunase,I get it
Na wasikau,I got it
Badi,Knife
Na yika ndire,I jumped
Na nasikau,I looked
Na nasakau,I saw it
Na nanka damuwa bai,I'm fine
Nayeka membai,I'm free
Na afnakau,I'm full
Na yeka kawa,I'm game
Na kwaro,I'm home
Na njauka membai,I'm lazy
Na nanka kuya bai,I'm rich
Na nanka lafiya bai,I'm sick
Na nanka yawobai,I'm ugly
Na nanka yakarabai,I'm weak
Lafiya no,I'm well
Dai ne,Leave me
Daimune,Leave us
Dakwari ne,Marry me
Na njawa wala,May I go
Kada miya,Say what
Met takau,She died
Guya ta kau,She runs
Tingu,Sit down
Tingu abican,Sit here
Yi caca,Speak up
Yaru Tom,Stop Tom
Yi wano ka ayam,Use this
Dafno,Answer me
Dagi kwaro,Call home
Cawo Tom,Catch Tom
Cause,Catch him
Tauti,Come back
Yeti bica'ayam,Come here
Zawa ma Ada,Dog bark
Ka tedibai,Don't ask
Kaye Zawabai,Don't cry
Kaye zawabai,Don't die
Kaye zawabai,Don't lie
Ka guye bai,Don't run
Kaye jojo bai,Don't run
Dafine,Follow me
Dafi mune,Follow us
Wuna wano,Get a job
Walu kata indi,Go to bed
Cawu yasi,Hold fire
Cawu ayan,Hold this
Na nakakau,I saw you
Na naka Tom,I see Tom
Nan dalate,I want it
Nayina caca,I'll talk
Nayina dimita,I'll wait
Nayina markau,I'll walk
Nayina wano,I'll work
Yar naguye,Let me go
Yar natedi,Let's ask
Yar nahade,Let's eat
Yar nanai,Let's see
Har ance riwo,Lie still
Yaka cacai na la,Who spoke
Tedi lauke,Ask anyone
Nan dalake,I like you
Nan dalace,I like you
Nandalate,I liked it
Kalu,I listened
Nan dalace,I love you
Nan dalake,I love you
Nan dala wadi,I want one
Nan dalace,I want you
Nandalate,I want you
Ka kaleka isheri bi,Are you afraid
Kala ndetubi,Are you coming
Kayina zawabi,Are you crying
Dikau ngamakirki bi,Are you honest
Ka kaleka kuzunbi,Are you hungry
Ka yika kawa bi,Are you joking
Ka nanka ngabai bi,Are you single
Ka la yina tadubi,Are you sleepy
Ci dawai bata kirki,Be a good girl
Biye wuntin tikau,Blow your nose
Na njawa hada ayam bi,Can I eat this
Na njawa taimakake bi,Can I help you
Na njawa sina boka bi,Can I kiss you
Na njawa nna amban bi,Can I see that
Na njawa nna ayan bi,Can I see this
Na njawa tinga bi,Can I sit down
Na njawa tinga abincan bi,Can I sit here
Na njawa lita bi,Can I touch it
Fina bo koro,Close the door
Nan dalo tamu,I like sweets
Nan dalo na hade,I like to eat
Nan dalo jo,I like to run
Nan dalo amma dorawa,I like yellow
Na ndaruka Adanau,I lost my dog
Na ndalo doku,I love horses
Nan dalo wanan nau,I love my job
Na ndalo nan nau,I love my mom
Na ndalo kano,I love myself
Na ndaruka awaino,I miss my cat
Na naka ngawadi,I see someone
Na naka lewi,I see the boy
Na yeka dafan ta wilyo,I smell smoke
Na yina ndire,I can dance
Na njawasi,I can do it
Na tina bai,I can't eat
Na dafa bai,I can't say
Na nnabai,I can't see
Na cawusukau,I caught it